epoch,accuracy,loss,val_accuracy,val_loss
0,0.39690008759498596,1.3120129108428955,0.47262248396873474,1.249557614326477
1,0.667312502861023,0.9386358261108398,0.6484149694442749,0.9039790630340576
2,0.8004428744316101,0.5603517293930054,0.6974063515663147,0.7692422270774841
3,0.8516468405723572,0.3997969627380371,0.7031700015068054,0.7958163619041443
4,0.8923332691192627,0.31578290462493896,0.6945244669914246,0.8095507025718689
5,0.9147523045539856,0.2577015459537506,0.6772334575653076,0.8733211159706116
6,0.9319125413894653,0.2054578810930252,0.6772334575653076,0.9453112483024597
7,0.9418765306472778,0.17705564200878143,0.6916426420211792,0.9931002855300903
8,0.9532244801521301,0.15003520250320435,0.6772334575653076,1.0401465892791748
9,0.9615278244018555,0.130407452583313,0.6628242135047913,1.1632930040359497
10,0.9631884694099426,0.1161973774433136,0.6685879230499268,1.1909781694412231
11,0.9692776203155518,0.1037813127040863,0.6714697480201721,1.2164884805679321
12,0.9701079726219177,0.09912242740392685,0.6743515729904175,1.272650957107544
13,0.972875714302063,0.08671242743730545,0.6657060384750366,1.3543365001678467
14,0.9723221659660339,0.09223700314760208,0.6714697480201721,1.3478729724884033
15,0.974259614944458,0.07969005405902863,0.680115282535553,1.3507541418075562
16,0.973706066608429,0.07795833051204681,0.6772334575653076,1.448783040046692
17,0.9789648652076721,0.06924336403608322,0.6541786789894104,1.4697624444961548
18,0.9767506122589111,0.07288414239883423,0.6599423885345459,1.4498883485794067
19,0.9761970639228821,0.0702352523803711,0.6541786789894104,1.5267351865768433
20,0.9753667116165161,0.06733019649982452,0.6685879230499268,1.4990155696868896
21,0.9778577089309692,0.06139158084988594,0.651296854019165,1.5806244611740112
22,0.9792416095733643,0.06388092786073685,0.6599423885345459,1.610916018486023
23,0.9792416095733643,0.06264678388834,0.6628242135047913,1.5945955514907837
24,0.9784113168716431,0.054841384291648865,0.6829971075057983,1.6796889305114746
